L_boom,t,c_root,c_tip,b,S,d_boom1,W_boom,W_stab,W_total,FS
[m],[m],[m],[m],[m],[m^2],,[kg],[kg/m^2],,[Pa-m/N]
0.01,0.1,0.08498,0.04249,0.1912,0.01219,0.004763,0.00007482,0.03206,0.03214,39.51
0.02,0.1,0.08243,0.04121,0.1855,0.01146,0.004763,0.0001496,0.02974,0.02989,40.43
0.03,0.1,0.08009,0.04004,0.1802,0.01082,0.004763,0.0002245,0.02771,0.02793,41.3
0.04,0.1,0.07794,0.03897,0.1754,0.01025,0.004763,0.0002993,0.02592,0.02622,42.14
0.05,0.1,0.07595,0.03798,0.1709,0.009734,0.004763,0.0003741,0.02433,0.0247,42.94
0.06,0.1,0.07411,0.03705,0.1667,0.009268,0.004763,0.0004489,0.02291,0.02336,43.71
0.07,0.1,0.0724,0.0362,0.1629,0.008844,0.004763,0.0005237,0.02164,0.02216,44.44
0.08,0.1,0.0708,0.0354,0.1593,0.008458,0.00635,0.001064,0.02049,0.02156,45.15
0.09,0.1,0.0693,0.03465,0.1559,0.008103,0.00635,0.001197,0.01945,0.02065,45.84
0.1,0.1,0.06789,0.03394,0.1528,0.007778,0.00635,0.00133,0.0185,0.01983,46.49
0.11,0.1,0.06656,0.03328,0.1498,0.007477,0.00635,0.001463,0.01764,0.0191,47.13
0.12,0.1,0.06531,0.03266,0.147,0.007199,0.00635,0.001596,0.01684,0.01844,47.74
0.13,0.1,0.06413,0.03207,0.1443,0.006941,0.00635,0.001729,0.01611,0.01784,48.34
0.14,0.1,0.06301,0.03151,0.1418,0.0067,0.00635,0.001862,0.01544,0.0173,48.91
0.15,0.1,0.06195,0.03097,0.1394,0.006476,0.007938,0.003117,0.01481,0.01793,49.47
0.16,0.1,0.06094,0.03047,0.1371,0.006266,0.007938,0.003325,0.01424,0.01756,50
0.17,0.1,0.05997,0.02999,0.1349,0.00607,0.007938,0.003533,0.0137,0.01723,50.53
0.18,0.1,0.05905,0.02953,0.1329,0.005885,0.007938,0.003741,0.01319,0.01694,51.03
0.19,0.1,0.05818,0.02909,0.1309,0.005711,0.007938,0.003949,0.01273,0.01667,51.53
0.2,0.1,0.05734,0.02867,0.129,0.005547,0.007938,0.004157,0.01229,0.01644,52.01
0.21,0.1,0.05653,0.02827,0.1272,0.005393,0.007938,0.004364,0.01187,0.01624,52.47
0.22,0.1,0.05576,0.02788,0.1255,0.005247,0.007938,0.004572,0.01149,0.01606,52.92
0.23,0.1,0.05502,0.02751,0.1238,0.005108,0.007938,0.00478,0.01112,0.0159,53.36
0.24,0.1,0.05431,0.02715,0.1222,0.004977,0.007938,0.004988,0.01078,0.01576,53.79
0.25,0.1,0.05362,0.02681,0.1206,0.004852,0.007938,0.005196,0.01045,0.01565,54.21
0.26,0.1,0.05296,0.02648,0.1192,0.004733,0.009525,0.007781,0.01014,0.01793,54.62
0.27,0.1,0.05232,0.02616,0.1177,0.00462,0.009525,0.00808,0.009853,0.01793,55.02
0.28,0.1,0.05171,0.02586,0.1163,0.004512,0.009525,0.00838,0.009577,0.01796,55.4
0.29,0.1,0.05112,0.02556,0.115,0.00441,0.009525,0.008679,0.009314,0.01799,55.78
0.3,0.1,0.05055,0.02527,0.1137,0.004311,0.009525,0.008978,0.009065,0.01804,56.15
